Season,Tour,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee
2019/20,29,16:00:00,West Ham,home,1,0,Emirates Stadium,60335,Mikel Arteta,Martin Atkinson
2019/20,28,21:15:00,Man City,away,0,3,Etihad Stadium,0,Mikel Arteta,Anthony Taylor
2019/20,30,16:00:00,Brighton,away,1,2,AMEX Stadium,0,Mikel Arteta,Martin Atkinson
2019/20,31,19:00:00,Southampton,away,2,0,St Mary's Stadium,0,Mikel Arteta,Graham Scott
2019/20,32,19:00:00,Norwich,home,4,0,Emirates Stadium,0,Mikel Arteta,Peter Bankes
2019/20,33,18:30:00,Wolves,away,2,0,Molineux Stadium,0,Mikel Arteta,Michael Oliver
2019/20,34,21:15:00,Leicester,home,1,1,Emirates Stadium,0,Mikel Arteta,Chris Kavanagh
2019/20,35,17:30:00,Tottenham,away,1,2,Tottenham Hotspur Stadium,0,Mikel Arteta,Michael Oliver
2019/20,36,21:15:00,Liverpool,home,2,1,Emirates Stadium,0,Mikel Arteta,Paul Tierney
2019/20,37,21:15:00,Aston Villa,away,0,1,Villa Park,0,Mikel Arteta,Chris Kavanagh
2019/20,38,17:00:00,Watford,home,3,2,Emirates Stadium,0,Mikel Arteta,Mike Dean
2020/21,1,13:30:00,Fulham,away,3,0,Craven Cottage,0,Mikel Arteta,Chris Kavanagh
2020/21,2,21:00:00,West Ham,home,2,1,Emirates Stadium,0,Mikel Arteta,Michael Oliver
2020/21,3,21:00:00,Liverpool,away,1,3,Anfield,0,Mikel Arteta,Craig Pawson
2020/21,4,15:00:00,Sheff Utd,home,2,1,Emirates Stadium,0,Mikel Arteta,Lee Mason
2020/21,5,18:30:00,Man City,away,0,1,Etihad Stadium,0,Mikel Arteta,Chris Kavanagh
2020/21,6,20:15:00,Leicester,home,0,1,Emirates Stadium,0,Mikel Arteta,Craig Pawson
2020/21,7,17:30:00,Man Utd,away,1,0,Old Trafford,0,Mikel Arteta,Mike Dean
2020/21,8,20:15:00,Aston Villa,home,0,3,Emirates Stadium,0,Mikel Arteta,Martin Atkinson
2020/21,9,17:30:00,Leeds,away,0,0,Elland Road,0,Mikel Arteta,Anthony Taylor
2020/21,10,20:15:00,Wolves,home,1,2,Emirates Stadium,0,Mikel Arteta,Michael Oliver
2020/21,11,17:30:00,Tottenham,away,0,2,Tottenham Hotspur Stadium,2000,Mikel Arteta,Martin Atkinson
2020/21,12,20:15:00,Burnley,home,0,1,Emirates Stadium,0,Mikel Arteta,Graham Scott
2020/21,13,19:00:00,Southampton,home,1,1,Emirates Stadium,0,Mikel Arteta,Paul Tierney
2020/21,14,18:30:00,Everton,away,1,2,Goodison Park,2000,Mikel Arteta,Andre Marriner
2020/21,15,18:30:00,Chelsea,home,3,1,Emirates Stadium,0,Mikel Arteta,Michael Oliver
2020/21,16,19:00:00,Brighton,away,1,0,AMEX Stadium,0,Mikel Arteta,Martin Atkinson
2020/21,17,21:00:00,West Brom,away,4,0,The Hawthorns,0,Mikel Arteta,Martin Atkinson
2020/21,18,21:00:00,Crystal Palace,home,0,0,Emirates Stadium,0,Mikel Arteta,Andre Marriner
2020/21,19,21:00:00,Newcastle,home,3,0,Emirates Stadium,0,Mikel Arteta,David Coote
2020/21,20,21:15:00,Southampton,away,3,1,St Mary's Stadium,0,Mikel Arteta,Kevin Friend
2020/21,21,18:30:00,Man Utd,home,0,0,Emirates Stadium,0,Mikel Arteta,Michael Oliver
2020/21,22,19:00:00,Wolves,away,1,2,Molineux Stadium,0,Mikel Arteta,Craig Pawson
2020/21,23,13:30:00,Aston Villa,away,0,1,Villa Park,0,Mikel Arteta,Chris Kavanagh
2020/21,24,17:30:00,Leeds,home,4,2,Emirates Stadium,0,Mikel Arteta,Stuart Attwell
2020/21,25,17:30:00,Man City,home,0,1,Emirates Stadium,0,Mikel Arteta,Jonathan Moss
2020/21,26,13:00:00,Leicester,away,3,1,King Power Stadium,0,Mikel Arteta,Paul Tierney
2020/21,27,13:30:00,Burnley,away,1,1,Turf Moor,0,Mikel Arteta,Andre Marriner
2020/21,28,17:30:00,Tottenham,home,2,1,Emirates Stadium,0,Mikel Arteta,Michael Oliver
2020/21,29,16:00:00,West Ham,away,3,3,London Stadium,0,Mikel Arteta,Jonathan Moss
2020/21,30,21:00:00,Liverpool,home,0,3,Emirates Stadium,0,Mikel Arteta,Stuart Attwell
2020/21,31,20:00:00,Sheff Utd,away,3,0,Bramall Lane,0,Mikel Arteta,Peter Bankes
2020/21,32,14:30:00,Fulham,home,1,1,Emirates Stadium,0,Mikel Arteta,Craig Pawson
2020/21,33,21:00:00,Everton,home,0,1,Emirates Stadium,0,Mikel Arteta,Jonathan Moss
2020/21,34,15:00:00,Newcastle,away,2,0,St James' Park,0,Mikel Arteta,Mike Dean
2020/21,35,20:00:00,West Brom,home,3,1,Emirates Stadium,0,Mikel Arteta,Peter Bankes
2020/21,36,21:15:00,Chelsea,away,1,0,Stamford Bridge,0,Mikel Arteta,Andre Marriner
2020/21,37,20:00:00,Crystal Palace,away,3,1,Selhurst Park,6500,Mikel Arteta,Anthony Taylor
2020/21,38,17:00:00,Brighton,home,2,0,Emirates Stadium,10000,Mikel Arteta,Jonathan Moss
2021/22,1,21:00:00,Brentford,away,0,2,Brentford Community Stadium  ,16479,Mikel Arteta,Michael Oliver
2021/22,2,17:30:00,Chelsea,home,0,2,Emirates Stadium,58729,Mikel Arteta,Paul Tierney
2021/22,3,13:30:00,Man City,away,0,5,Etihad Stadium,52276,Mikel Arteta,Martin Atkinson
2021/22,4,16:00:00,Norwich,home,1,0,Emirates Stadium,60000,Mikel Arteta,Michael Oliver
2021/22,5,16:00:00,Burnley,away,1,0,Turf Moor,21944,Mikel Arteta,Anthony Taylor
2021/22,6,17:30:00,Tottenham,home,3,1,Emirates Stadium,59919,Mikel Arteta,Craig Pawson
2021/22,7,18:30:00,Brighton,away,0,0,AMEX Stadium,31266,Mikel Arteta,Jonathan Moss
2021/22,8,21:00:00,Crystal Palace,home,2,2,Emirates Stadium,59475,Mikel Arteta,Mike Dean
2021/22,9,21:00:00,Aston Villa,home,3,1,Emirates Stadium,59496,Mikel Arteta,Craig Pawson
2021/22,10,13:30:00,Leicester,away,2,0,King Power Stadium,32209,Mikel Arteta,Michael Oliver
2021/22,11,15:00:00,Watford,home,1,0,Emirates Stadium,59833,Mikel Arteta,Kevin Friend
2021/22,12,18:30:00,Liverpool,away,0,4,Anfield,53092,Mikel Arteta,Michael Oliver
2021/22,13,13:30:00,Newcastle,home,2,0,Emirates Stadium,59886,Mikel Arteta,Stuart Attwell
2021/22,14,21:15:00,Man Utd,away,2,3,Old Trafford,73123,Mikel Arteta,Martin Atkinson
2021/22,15,21:00:00,Everton,away,1,2,Goodison Park,38906,Mikel Arteta,Mike Dean
2021/22,16,16:00:00,Southampton,home,3,0,Emirates Stadium,59653,Mikel Arteta,Jarred Gillett
2021/22,17,21:00:00,West Ham,home,2,0,Emirates Stadium,59777,Mikel Arteta,Anthony Taylor
2021/22,18,18:30:00,Leeds,away,4,1,Elland Road,36166,Mikel Arteta,Andre Marriner
2021/22,19,16:00:00,Norwich,away,5,0,Carrow Road,26940,Mikel Arteta,Graham Scott
2021/22,21,13:30:00,Man City,home,1,2,Emirates Stadium,59757,Albert Stuivenberg,Stuart Attwell
2021/22,23,15:00:00,Burnley,home,0,0,Emirates Stadium,59255,Mikel Arteta,David Coote
